vin,vout,vout_ripple_mv,i_in,i_out,il_ripple_a,p_in,p_out,eta_pct,p_mos_w,p_diode_w,p_dcr_w,p_esr_w,p_shunt_w,p_cin_w,loss_sum_w,balance_err_pct,vsw_max,rload
17.900000000000006,12.758320523483404,26.287581736429644,-9.57010603776644,12.758320523483404,0.6829334872499526,171.30489807601927,162.7748037951584,95.02051933326769,1.5583529749771259,3.027466165729826,4.883751281464208,0.0014950991025395436,1.1340041931345664,0.33279721645043725,10.937866930858704,1.4055480473940312,18.3059550995966,1.0
17.900000000000006,12.941773622706176,26.691641490899087,-6.4734795928519695,8.627849081804118,0.6846587291288451,115.87528471205025,111.65971165079007,96.36197393453153,0.8189218636952484,2.2326744271735404,2.2338990332997,0.0015381621886400181,0.5189076024106846,0.18807936289886057,5.994020451666674,1.5347944083381866,18.399646645707257,1.5
17.900000000000006,13.034869375775902,26.89951500981813,-4.891412319665718,6.517434687887951,0.6855445437253298,87.55628052201637,84.9539418024544,97.02781033633835,0.5074003075510903,1.6168268240416053,1.2751879628982978,0.0015619823056914211,0.29632377933330833,0.08675085218493286,3.784051708314926,1.34966101998338,18.144287208075745,2.0
17.900000000000006,13.092455183647822,27.023121873563483,-3.931692087600945,5.236982073459129,0.6859987258175799,70.37728836805692,68.56497891207337,97.42486603560855,0.41035311264394186,1.313598229713767,0.8237615217925495,0.0015759627779695935,0.19150104096836626,0.057053073914894746,2.797842941811489,1.4003572866772371,18.122733216682523,2.5
17.900000000000006,13.131386779721987,27.107295361650685,-3.285728696283633,4.377128926573997,0.6862753270860225,58.814543663477046,57.47779455640382,97.72717932706954,0.3545633101428356,1.0985037293747486,0.5757637281770022,0.0015852265521045506,0.13383464089567332,0.03995553371579624,2.2042061688581605,1.474902307749459,18.097995268756662,3.0
17.900000000000006,13.157550449666035,27.16527376830946,-2.852723160938011,3.8027602455682183,0.686444698947863,51.063744580790406,50.0350286371782,97.98542791552504,0.32487068345355974,0.5159708406234803,0.43478201034103325,0.001594264208877193,0.10100341625481683,0.03199458649403816,1.4102158013758053,0.7471051347595763,18.07442786920859,3.46
17.900000000000006,13.19758450354288,27.258552190993157,-2.201419746310644,2.932796556342862,0.6866690480867526,39.40541345896053,38.70584496990747,98.22468938238234,0.2799853902345606,0.4028446129369106,0.25908892195040967,0.001603254071233009,0.06022460705630898,0.017416853777075893,1.0211636400264985,0.8161192149610751,18.021768842866294,4.5
17.900000000000006,13.231586152314206,27.350939697505794,-1.6541349640797423,2.205264358719034,0.6868051680675293,29.609015857027387,29.179156352029448,98.54821414168714,0.25107622118801964,0.46421836057708854,0.14693228439468142,0.0016134262803870428,0.03412930007303602,0.008771247937345924,0.9067408404505587,1.6105950219869836,17.951560534077686,6.0
17.900000000000006,13.257284875055992,27.427657993195353,-1.2442500088508734,1.657160609381999,0.686786297076931,22.272075158430635,21.96945854828976,98.64127339734519,0.09628255654253638,0.22689565597945008,0.08349318060211511,0.001615683270666567,0.019399372185016136,0.0055978626868575035,0.43328431126664185,0.5866884885951317,17.97972968546184,8.0
17.900000000000006,13.279926064294218,27.4612589173433,-0.9067000748252236,1.2072660058449292,0.6866618289539528,16.229931339371504,16.032409310435977,98.78297680498274,0.08714927487920744,0.1642166005168945,0.04485334505185876,0.0016162003170163831,0.010408824337491438,0.0026651329858814153,0.31090937808834995,0.6986311080550374,17.959226908305922,11.0
17.900000000000006,13.291477661843503,27.462116146152127,-0.7394837804710834,0.9845539008772966,0.6865736389821767,13.236759670432395,13.086181101304366,98.86242122032039,0.08335126937651303,0.20165119258158729,0.030225747329950658,0.001623617253898948,0.007004963000681025,0.0016384081569279115,0.3254951976995588,1.321445980183876,17.93826147411017,13.5
