date,time,elapsed_s,lux,irradiance_wm2,blue_channel,temp_c
2026-07-09,01:07:08,9,13.33,0.1149,113,48.00
2026-07-09,01:07:18,19,13.33,0.1149,111,48.00
2026-07-09,01:07:28,29,13.33,0.1149,131,48.00
2026-07-09,01:07:38,39,13.33,0.1149,130,48.00
2026-07-09,01:07:48,49,13.33,0.1149,130,48.00
2026-07-09,01:07:58,59,13.33,0.1149,134,49.00
2026-07-09,01:08:08,69,13.33,0.1149,133,48.00
2026-07-09,01:08:18,79,13.33,0.1149,128,48.00
2026-07-09,01:08:28,89,13.33,0.1149,131,48.00
2026-07-09,01:08:38,99,13.33,0.1149,119,48.00
2026-07-09,09:32:15,8,0.00,0.0000,119,32.00
2026-07-09,09:32:25,18,0.00,0.0000,120,33.00
2026-07-09,09:32:35,28,3.33,0.0287,111,35.00
2026-07-09,09:32:45,38,6.67,0.0575,114,36.00
2026-07-09,09:32:55,48,16.67,0.1437,121,36.00
2026-07-09,09:33:05,58,16.67,0.1437,121,37.00
2026-07-09,09:33:15,68,13.33,0.1149,124,38.00
2026-07-09,09:33:25,78,3.33,0.0287,132,40.00
2026-07-09,09:33:35,88,13.33,0.1149,116,40.00
2026-07-09,09:33:50,103,13.33,0.1149,116,41.00
2026-07-09,09:34:00,113,16.67,0.1437,120,42.00
2026-07-09,09:34:16,130,16.67,0.1437,122,42.00
2026-07-09,09:34:26,140,16.67,0.1437,115,43.00
2026-07-09,09:34:36,150,16.67,0.1437,121,43.00
2026-07-09,09:34:46,160,16.67,0.1437,118,44.00
2026-07-09,09:34:56,170,16.67,0.1437,115,44.00
2026-07-09,09:35:07,180,16.67,0.1437,115,45.00
2026-07-09,09:35:17,190,16.67,0.1437,117,45.00
2026-07-09,09:35:27,200,16.67,0.1437,115,46.00
2026-07-09,09:35:37,210,16.67,0.1437,117,46.00
2026-07-09,09:36:04,10,20.00,0.1724,126,46.00
2026-07-09,09:36:14,20,20.00,0.1724,125,46.00
2026-07-09,09:36:24,30,20.00,0.1724,114,47.00
2026-07-09,09:36:38,44,20.00,0.1724,115,47.00
2026-07-09,09:36:48,54,16.67,0.1437,115,47.00
2026-07-09,09:36:58,64,16.67,0.1437,122,48.00
2026-07-09,09:37:08,74,16.67,0.1437,120,48.00
2026-07-09,09:37:18,84,16.67,0.1437,119,49.00
2026-07-09,09:37:31,98,16.67,0.1437,123,50.00
2026-07-09,09:37:41,108,16.67,0.1437,122,49.00
2026-07-09,15:36:14,8,53.33,0.4598,143,31.00
2026-07-09,15:36:24,18,60.00,0.5172,128,32.00
2026-07-09,15:36:38,33,53.33,0.4598,125,35.00
2026-07-09,15:36:48,43,53.33,0.4598,130,36.00
2026-07-09,15:36:58,53,123.33,1.0632,129,36.00
2026-07-09,15:37:08,63,0.00,0.0000,125,37.00
2026-07-09,15:37:18,73,123.33,1.0632,129,38.00
