loss,mae,val_loss,val_mae,learning_rate
0.022858072072267532,0.11712751537561417,0.011844540014863014,0.09037140011787415,0.0010000000474974513
0.005852368660271168,0.06158474460244179,0.0030900000128895044,0.04544327035546303,0.0010000000474974513
0.0035762477200478315,0.04268110543489456,0.0027349169831722975,0.041810330003499985,0.0010000000474974513
0.0032940134406089783,0.03987925872206688,0.0022768930066376925,0.03639797493815422,0.0010000000474974513
0.0030702254734933376,0.03671523928642273,0.0021657575853168964,0.03377482295036316,0.0010000000474974513
0.0029538613744080067,0.03577534854412079,0.0022299145348370075,0.0335620678961277,0.0010000000474974513
0.002928209025412798,0.03582591935992241,0.0022525987587869167,0.03399967774748802,0.0010000000474974513
0.0029157784301787615,0.03570743650197983,0.0022484485525637865,0.03384850546717644,0.0010000000474974513
0.002906493144109845,0.03560410439968109,0.0022463263012468815,0.03363438695669174,0.0010000000474974513
0.0028884480707347393,0.03537975624203682,0.002122929785400629,0.033902354538440704,0.0005000000237487257
0.002854101127013564,0.03510551527142525,0.0021051974035799503,0.03356386721134186,0.0005000000237487257
0.0028514661826193333,0.03505804389715195,0.0020983589347451925,0.03324238210916519,0.0005000000237487257
0.0028483292553573847,0.03501240909099579,0.002093561226502061,0.03296232596039772,0.0005000000237487257
0.002797036897391081,0.03454212099313736,0.0020643349271267653,0.03278354927897453,0.0002500000118743628
0.002797367051243782,0.034527599811553955,0.002051601419225335,0.03263628110289574,0.0002500000118743628
0.002793652005493641,0.03447546437382698,0.0020441950764507055,0.03257543966174126,0.0002500000118743628
0.0027899749111384153,0.03442111238837242,0.002036796184256673,0.032528746873140335,0.0002500000118743628
0.0027859953697770834,0.034360479563474655,0.0020300273317843676,0.032482389360666275,0.0002500000118743628
0.0027730888687074184,0.03420674428343773,0.0019980294164270163,0.03234153985977173,0.0001250000059371814
0.0027749703731387854,0.03421597182750702,0.00199647294357419,0.032298047095537186,0.0001250000059371814
0.00277292774990201,0.03418275713920593,0.0019943490624427795,0.032243646681308746,0.0001250000059371814
0.0027706222608685493,0.03414623811841011,0.001991747412830591,0.03218391165137291,0.0001250000059371814
0.002761855721473694,0.03408769145607948,0.0019017471931874752,0.0316072441637516,6.25000029685907e-05
0.002755687339231372,0.03403695672750473,0.0019014265853911638,0.031591419130563736,6.25000029685907e-05
0.0027548756916075945,0.03401719406247139,0.0018993486883118749,0.03156689181923866,6.25000029685907e-05
0.002753905253484845,0.03399718925356865,0.001897393842227757,0.03154372423887253,6.25000029685907e-05
0.0027529140934348106,0.033977072685956955,0.001895461231470108,0.03152092173695564,6.25000029685907e-05
0.00274473219178617,0.03390108793973923,0.0018799861427396536,0.031325872987508774,3.125000148429535e-05
0.002742721466347575,0.03386244922876358,0.001877821166999638,0.03129255026578903,3.125000148429535e-05
0.0027421244885772467,0.033851947635412216,0.0018764241831377149,0.03127339854836464,3.125000148429535e-05
0.002741533098742366,0.03384101390838623,0.001875030342489481,0.0312541164457798,3.125000148429535e-05
0.0027378774248063564,0.03380943462252617,0.0018753188196569681,0.031148508191108704,1.5625000742147677e-05
0.0027374497149139643,0.033797163516283035,0.001873882720246911,0.031141435727477074,1.5625000742147677e-05
0.0027371307369321585,0.03379121795296669,0.0018729596631601453,0.03113107569515705,1.5625000742147677e-05
0.0027368012815713882,0.03378518298268318,0.0018721213564276695,0.03112121671438217,1.5625000742147677e-05
0.0027351921889930964,0.033773310482501984,0.0018742709653452039,0.03103254921734333,7.812500371073838e-06
0.0027350655291229486,0.03377249464392662,0.0018738923827186227,0.031024670228362083,7.812500371073838e-06
0.0027348927687853575,0.03376920893788338,0.0018734275363385677,0.031019553542137146,7.812500371073838e-06
0.0027347165159881115,0.033765848726034164,0.001872969325631857,0.03101455420255661,7.812500371073838e-06
0.002733848989009857,0.033760979771614075,0.0018734964542090893,0.030993463471531868,3.906250185536919e-06
0.0027337551582604647,0.03376143425703049,0.0018732232274487615,0.03099129907786846,3.906250185536919e-06
0.0027336622588336468,0.03375965729355812,0.0018730041338130832,0.030987782403826714,3.906250185536919e-06
0.0027335709892213345,0.0337580069899559,0.0018727820133790374,0.03098442032933235,3.906250185536919e-06
