2026-07-01,12:35:44,518,30380.00,261.8965,185,58.00
2026-07-01,12:35:54,528,33627.50,289.8922,185,59.00
2026-07-01,12:36:04,538,36921.66,318.2902,183,59.00
2026-07-01,12:36:14,548,37890.83,326.6451,184,60.00
2026-07-01,12:36:24,558,38414.16,331.1566,182,61.00
2026-07-01,12:36:34,568,38289.16,330.0790,183,61.00
2026-07-01,12:36:44,578,38431.66,331.3074,187,61.00
2026-07-01,12:36:54,588,38595.00,332.7155,185,62.00
2026-07-01,12:37:04,598,38680.00,333.4483,185,63.00
2026-07-01,12:37:14,608,38767.50,334.2026,190,63.00
2026-07-01,12:37:24,618,38715.00,333.7500,188,64.00
2026-07-01,12:37:34,628,38424.16,331.2428,187,64.00
2026-07-01,12:37:44,638,38468.33,331.6236,191,65.00
2026-07-01,12:37:54,648,38215.00,329.4397,189,65.00
2026-07-01,12:38:04,658,38100.83,328.4554,188,65.00
2026-07-01,12:38:14,668,38447.50,331.4440,187,66.00
2026-07-01,12:38:24,678,38813.33,334.5977,187,66.00
2026-07-01,12:38:34,688,38660.83,333.2830,190,67.00
2026-07-01,12:38:44,698,38577.50,332.5647,188,67.00
2026-07-01,12:38:54,708,38691.66,333.5488,188,67.00
2026-07-01,12:39:04,718,38721.66,333.8074,187,68.00
2026-07-01,12:39:14,728,38625.83,332.9813,186,68.00
2026-07-01,12:39:24,738,38679.16,333.4411,185,68.00
2026-07-01,12:39:34,748,38549.16,332.3204,185,68.00
2026-07-01,12:39:44,758,38446.66,331.4368,185,69.00
2026-07-01,12:39:54,768,38428.33,331.2787,186,69.00
2026-07-01,12:40:04,778,38590.00,332.6724,188,69.00
2026-07-01,12:40:14,788,38580.83,332.5934,190,69.00
2026-07-01,12:40:24,798,38573.33,332.5287,189,70.00
2026-07-01,12:40:34,808,38504.16,331.9324,189,70.00
2026-07-01,12:40:44,818,38486.66,331.7816,190,70.00
2026-07-01,12:41:01,835,38376.66,330.8333,189,62.00
2026-07-01,12:41:11,845,38331.66,330.4454,188,61.00
2026-07-01,12:41:21,855,38324.16,330.3807,188,60.00
2026-07-01,12:41:31,865,38177.50,329.1164,189,60.00
2026-07-01,12:41:41,875,38130.83,328.7141,188,58.00
2026-07-01,12:41:51,885,38020.00,327.7586,188,58.00
2026-07-01,12:42:01,896,27176.67,234.2816,188,61.00
2026-07-01,12:42:16,910,38075.83,328.2399,188,65.00
2026-07-01,12:42:26,920,38150.83,328.8865,187,66.00
