2026-07-01,12:28:34,88,40415.83,348.4124,183,53.00
2026-07-01,12:28:44,98,40291.66,347.3419,184,54.00
2026-07-01,12:28:54,108,38545.00,332.2845,184,54.00
2026-07-01,12:29:04,118,40779.16,351.5445,183,55.00
2026-07-01,12:29:14,128,40960.00,353.1035,183,55.00
2026-07-01,12:29:24,138,41238.33,355.5029,184,55.00
2026-07-01,12:29:34,148,41355.83,356.5158,182,56.00
2026-07-01,12:29:44,158,41330.00,356.2931,183,56.00
2026-07-01,12:29:54,168,41205.83,355.2227,183,57.00
2026-07-01,12:30:04,178,41045.83,353.8434,182,57.00
2026-07-01,12:30:14,188,40915.83,352.7227,184,57.00
2026-07-01,12:30:24,198,40772.50,351.4871,184,57.00
2026-07-01,12:30:34,208,40649.16,350.4238,182,58.00
2026-07-01,12:30:44,218,40583.33,349.8563,183,58.00
2026-07-01,12:30:54,228,40690.83,350.7830,184,58.00
2026-07-01,12:31:04,238,40815.00,351.8535,183,58.00
2026-07-01,12:31:14,248,40983.33,353.3046,183,58.00
2026-07-01,12:31:24,258,41072.50,354.0733,180,58.00
2026-07-01,12:31:34,268,41315.00,356.1638,183,58.00
2026-07-01,12:31:44,278,41465.83,357.4641,182,58.00
2026-07-01,12:31:54,288,41655.00,359.0948,183,59.00
2026-07-01,12:32:04,298,41785.00,360.2155,185,59.00
2026-07-01,12:32:14,308,41921.66,361.3936,184,59.00
2026-07-01,12:32:24,318,42098.33,362.9167,182,59.00
2026-07-01,12:32:34,328,42234.16,364.0876,184,59.00
2026-07-01,12:32:44,338,42313.33,364.7701,181,59.00
2026-07-01,12:32:54,348,42330.83,364.9210,183,59.00
2026-07-01,12:33:04,358,42273.33,364.4253,183,59.00
2026-07-01,12:33:14,368,42160.83,363.4554,180,59.00
2026-07-01,12:33:24,378,42065.00,362.6293,184,59.00
2026-07-01,12:33:34,388,41985.83,361.9468,163,59.00
2026-07-01,12:33:44,398,41867.50,360.9267,185,59.00
2026-07-01,12:33:54,408,41646.66,359.0230,185,60.00
2026-07-01,12:34:10,424,41431.66,357.1695,183,51.00
2026-07-01,12:34:20,434,41203.33,355.2011,185,50.00
2026-07-01,12:34:30,444,41108.33,354.3822,184,49.00
2026-07-01,12:34:40,454,31590.00,272.3276,185,55.00
2026-07-01,12:34:54,468,30536.67,263.2471,181,56.00
2026-07-01,12:35:04,478,29686.67,255.9195,185,57.00
2026-07-01,12:35:14,488,28523.33,245.8908,184,58.00
